% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.79231789(0.00000354)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 5.770  0.7833486  0.0000669
 5.790  0.7831493  0.0000671
 5.810  0.7829539  0.0000675
 5.830  0.7830242  0.0000668
 5.850  0.7831631  0.0000668
 5.870  0.7834751  0.0000674
 5.890  0.7839859  0.0000659
 5.910  0.7845874  0.0000678
 5.930  0.7852617  0.0000675
 5.950  0.7861374  0.0000672
 5.970  0.7869865  0.0000670
 5.990  0.7879973  0.0000686
 6.010  0.7889537  0.0000675
 6.030  0.7900758  0.0000694
 6.050  0.7909833  0.0000670
 6.070  0.7920338  0.0000675
 6.090  0.7929397  0.0000673
 6.110  0.7939612  0.0000670
 6.130  0.7948907  0.0000670
 6.150  0.7956165  0.0000683
 6.170  0.7963131  0.0000675
 6.190  0.7970006  0.0000664
 6.210  0.7975045  0.0000660
 6.230  0.7978912  0.0000680
 6.250  0.7981861  0.0000670
 6.270  0.7984036  0.0000668
 6.290  0.7984279  0.0000674
 6.310  0.7983939  0.0000687
 6.330  0.7982592  0.0000690
 6.350  0.7980365  0.0000668
 6.370  0.7977037  0.0000676
 6.390  0.7972307  0.0000675
 6.410  0.7968028  0.0000683
 6.430  0.7962367  0.0000676
 6.450  0.7956513  0.0000680
 6.470  0.7949495  0.0000684
 6.490  0.7943345  0.0000679
 6.510  0.7937078  0.0000681
 6.530  0.7929871  0.0000678
 6.550  0.7923804  0.0000661
 6.570  0.7917323  0.0000674
 6.590  0.7911137  0.0000683
 6.610  0.7906419  0.0000665
 6.630  0.7901462  0.0000687
 6.650  0.7896486  0.0000667
 6.670  0.7892948  0.0000672
 6.690  0.7889490  0.0000670
 6.710  0.7887226  0.0000668
 6.730  0.7885743  0.0000669
 6.750  0.7884203  0.0000666
 6.770  0.7883916  0.0000678
 6.790  0.7884109  0.0000667
 6.810  0.7885252  0.0000682
 6.830  0.7886571  0.0000670
 6.850  0.7888605  0.0000689
 6.870  0.7891637  0.0000671
 6.890  0.7894133  0.0000678
 6.910  0.7897880  0.0000676
 6.930  0.7901827  0.0000676
 6.950  0.7906007  0.0000663
 6.970  0.7910431  0.0000673
 6.990  0.7914431  0.0000689
 7.010  0.7918521  0.0000668
 7.030  0.7923082  0.0000698
 7.050  0.7927415  0.0000671
 7.070  0.7931169  0.0000678
 7.090  0.7934892  0.0000671
 7.110  0.7937844  0.0000672
 7.130  0.7940384  0.0000670
 7.150  0.7943372  0.0000665
 7.170  0.7945685  0.0000676
 7.190  0.7947118  0.0000680
 7.210  0.7947780  0.0000675
 7.230  0.7949371  0.0000669
 7.250  0.7948870  0.0000681
 7.270  0.7947993  0.0000665
 7.290  0.7948024  0.0000676
 7.310  0.7946910  0.0000673
 7.330  0.7944690  0.0000668
 7.350  0.7942772  0.0000687
 7.370  0.7941454  0.0000681
 7.390  0.7939045  0.0000685
 7.410  0.7936147  0.0000674
 7.430  0.7933684  0.0000684
 7.450  0.7930831  0.0000683
 7.470  0.7928253  0.0000679
 7.490  0.7925629  0.0000683
 7.510  0.7922667  0.0000675
 7.530  0.7920145  0.0000679
 7.550  0.7918061  0.0000661
 7.570  0.7915555  0.0000679
 7.590  0.7913039  0.0000671
 7.610  0.7911405  0.0000664
 7.630  0.7910252  0.0000674
